GermplasmId,Flower,Pubescence
LG04-5993,W,T
LG04-6000,W,T
LG04-6005,W,T
LG04-6449,P,T
LG05-2356,H,G
LG05-4010,W,T
LG05-4092,P,T
LG05-4126,P,T
LG05-4292,P,G
LG05-4317,W,T
LG05-4354,P,T
LG05-4464,P,G
LG05-4832,W,T
LG06-2219,P,T
LG06-2340,W,G
LG06-2354,W,G
LG06-2697,H,T
LG06-2855,W,T
LG06-2866,W,T
LG06-5798,P,T
LG06-6094,P,T
LG07-2309,P,G
LG07-6843,W,T
LG07-6848,H,T
LG07-6950,P,T
LG07-6953,P,T
LG07-8914,W,T
LG07-9814,W,T
LG08-1643,P,T
LG08-3007,H,G
LG08-3009,W,G
LG08-3607,W,T
LG08-3838,P,G
LG08-4227,P,T
LG08-4955,P,T
LG09-5636,W,T
LG09-5856,W,G
LG09-5857,P,G
LG09-5875,P,T
LG09-7157,P,G
LG09-7163,P,G
LG09-7167,P,NA
LG09-7193,P,G
LG09-7250,W,NA
LG09-7356,P,G
LG09-7431,P,G
LG09-7464,W,G
LG09-7477,W,G
LG09-7547,W,T
LG09-7739,P,G
LG09-7823,P,T
LG09-8078,P,T
LG09-8165,P,G
LG09-8166,P,G
LG09-8515,P,T
LG09-8519,P,T
LG09-8526,P,T
LG09-8542,P,T
LG09-8545,P,T
LG09-8556,P,T
LG09-8595,W,T
LG09-8615,W,T
LG09-8656,W,T
LG09-8702,P,T
LG10-2688,W,T
LG10-2695,W,G
LG10-2699,W,T
LG10-2983,P,G
LG10-3045,W,T
LG10-3250,P,T
LG10-3251,P,T
LG10-3278,P,T
LG10-3369,W,G
LG10-3409,W,T
LG10-3413,P,T
LG10-3432,P,T
LG10-3987,P,T
LG11-5120,W,T
LG11-6190,P,T
LG11-6205,P,T
LG11-6208,W,T
LG11-6210,W,T
LG11-6212,P,T
LG11-6214,P,T
LG11-6215,W,T
LG11-6759,P,NA
LG11-6760,P,NA
LG11-6761,NA,NA
LG11-7662,W,G
LG11-7722,P,T
LG11-7727,W,T
LG11-7880,W,T
LG12-1023,W,T
LG12-2087,W,T
LG12-2096,P,T
LG12-2177,W,T
LG12-3475,W,NA
LG12-3478,W,NA
LG12-3738,W,T
LG12-3771,W,T
LG12-3913,P,T
LG12-3935,W,T
LG12-4045,P,T
LG12-4068,W,NA
LG12-4072,NA,NA
LG12-4073,W,G
LG13-1006,W,T
LG13-1107,W,T
LG13-1257,P,T
LG13-1952,P,G
LG13-2240,W,T
LG13-3576,W,T
LG13-3578,W,T
LG13-3594,P,G
LG13-3614,W,G
LG13-3622,W,G
LG13-3729,W,G
LG13-3844,W,T
LG13-3861,W,T
LG13-3895,W,G
LG13-3925,NA,NA
LG13-3971,W,G
LG13-3975,P,G
LG13-3981,NA,NA
LG13-3992,P,T
LG13-3993,NA,T
LG13-4001,W,T
LG13-4025,W,T
LG13-4038,P,T
LG13-4053,W,T
LG14-6165,W,NA
LG14-6166,W,G
LG14-6169,W,G
LG14-6201,W,T
LG14-7959,P,NA
LG14-7965,P,G
LG14-8024,W,T
LG15-2049,W,T
LG15-2136,W,T
LG15-2214,W,T
LG15-2243,W,T
LG15-2775,P,T
LG15-4418,W,G
LG15-4486,P,G
LN97-15076,W,T
LS08-4637,W,T
LS08-4941,P,G
LS08-5515,W,T
LS08-6034,P,G
LS09-1530,H,H
LS09-2340,H,T
LS09-2342,W,T
LS09-2659,P,G
LS09-2722,P,G
M00-110014,W,G
M00-110060,W,G
M00-307023,P,G
M00-307055,P,G
M00-311054,P,T
M00-326044,P,H
M00-326087,NA,NA
M00-327021,P,G
M00-335031,W,G
M00-336023,P,G
M00-340068,P,T
M00-378032,P,T
M00-400054,P,G
M00-500071,P,G
M00-522014,H,G
M00-522016,H,G
M00-524048,P,G
M00-528090,NA,NA
M00-529011,P,T
M00-530008,P,G
M00-530039,P,NA
M00-530118,W,G
M00-537061,P,G
M01-213045,W,G
M01-221039,P,T
M01-241048,W,G
M01-242025,P,G
M01-242042,P,G
M01-257028,P,T
M01-258100,P,G
M01-269046,P,T
M01-269047,P,T
M01-278013,P,G
M01-318027,H,T
M01-318034,W,T
M01-318104,H,G
M01-321123,W,G
M01-321154,P,G
M01-322056,P,G
M01-322091,H,G
M01-322148,W,G
M02-113076,P,G
M02-115031,W,G
M02-141020,P,G
M02-314039,P,G
M02-314095,P,T
M02-317003,P,NA
M02-317006,P,G
M02-324024,P,G
M02-328023,P,T
M02-328139,P,G
M02-330105,P,G
M02-330112,P,G
M02-333013,P,G
M02-333069,P,G
M02-385041,P,T
M02-385091,H,T
M02-399012,W,T
M02-495076,W,T
M02-733007,P,T
M03-143100,P,G
M03-147-1022,P,T
M03-149087,W,G
M03-149100,P,T
M03-158071,NA,T
M03-160082,P,G
M03-163106,W,G
M03-165068,W,G
M03-172059,W,G
M03-189083,P,G
M03-192010,P,G
M03-193054,P,G
M03-229084,P,G
M04-229039,P,T
M04-242040,P,G
M04-254003,P,G
M04-261037,P,G
M04-267028,P,G
M04-338008,P,T
M04-340048,P,T
M04-342124,P,T
M04-380030,P,T
M04-380101,P,T
M04-380106,P,T
M04-389079,P,G
M05-182007,P,NA
M05-214049,W,G
M05-226053,W,G
M05-242024,W,G
M05-243040,P,G
M05-248041,W,T
M05-286085,W,G
M05-307064,P,T
M05-319032,P,T
M05-328025,W,G
M05-350061,W,NA
M05-353148,P,G
M05-363022,H,G
M05-363031,W,G
M05-364040,P,T
M05R-615082,P,T
M06-235003,W,G
M06-235009,W,T
M06-247018,P,T
M06-274009,P,T
M06-274098,P,T
M06-289001,W,T
M06-294048,P,G
M06-296023,P,T
M06-310036,P,G
M06-310039,P,G
M06-320039,P,T
M06-337010,W,G
M06-337011,W,G
M06-337041,P,G
M06-338016,NA,G
M06-353010,H,G
M06-355049,W,T
M06-356031,P,G
M06-358171,H,H
M06-358188,P,G
M06-361002,P,H
M06-361006,H,G
M06-378172,P,T
M06-380029,P,G
M06-381085,NA,G
M06R-150044,P,G
M06R-152009,P,G
M06R-613036,P,T
M06R-614008,W,T
M06R-614016,H,T
M06R-619017,P,G
M06R-621-1007,H,G
M06R-621-1014,P,G
M06R-621-7020,P,G
M07-209037,W,G
M07-260009,H,G
M07-260028,H,G
M07-266078,P,T
M07-267006,W,G
M07-276085,P,G
M07-278122,NA,G
M07-278126,H,G
M07-340035,P,G
M07-340083,P,H
M07-352123,P,G
M07-352133,P,T
M07-354108,P,T
M07-355016,H,G
M07-392055,P,T
M07-396047,P,T
M07-396099,P,G
M07-396100,P,T
M07-396118,P,T
M07-404023,W,G
M08-144017,W,G
M08-144031,NA,NA
M08-144103,NA,NA
M08-144119,P,NA
M08-154007,NA,NA
M08-154093,P,T
M08-212028,P,T
M08-212033,P,T
M08-218002,P,H
M08-218089,P,T
M08-221060,P,H
M08-224032,P,G
M08-224101,P,G
M08-225081,P,G
M08-231043,P,G
M08-271196,NA,NA
M08-271308,P,T
M08-271313,P,T
M08-271319,P,T
M08-337014,P,G
M08-354011,W,T
M08-359053,NA,NA
M08-362045,W,NA
M08-365100,P,G
M08-391087,P,G
M08-434013,P,G
M08-434024,P,NA
M08-608002,P,H
M08-608014,W,H
