GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
U11-607174R,x,P,G,G
U11-609163R,x,H,T,T
U11-609165R,x,P,G,G
U11-610107,x,P,T,Lt
U11-610109,x,P,NA,NA
U11-611112,x,P,T,Lt
U11-612121,x,H,H,H
U11-614093,x,P,NA,NA
U11-614119,x,NA,NA,NA
U11-616086,x,W,T,T
U11-616111,x,W,G,G
U11-619102,x,NA,NA,NA
U11-619104,x,P,T,Lt
U11-622148,x,P,T,T
U11-629168R,x,W,G,G
U11-638173R,x,W,G,G
U11-642173R,x,W,G,G
U11-649117,x,P,T,Lt
U11-902111R,x,P,T,T
U11-902116R,x,P,G,G
U11-903002,x,W,G,G
U11-905076,x,P,T,T
U11-906115R,x,P,T,T
U11-907098,x,P,NA,NA
U11-911074,x,P,T,T
U11-911079,x,P,NA,NA
U11-913028,x,P,T,T
U11-913102,x,W,G,G
U11-915054,x,P,T,T
U11-917032,x,P,T,T
U11-918019,x,P,NA,NA
U11-918052,x,P,NA,NA
U11-919011,x,P,T,Lt
U11-920017,x,NA,NA,NA
U11-924115R,x,H,T,T
U11-924119R,x,P,NA,NA
U11-925119R,x,P,T,T
U11-926111R,x,P,T,T
U11-927115R,x,W,T,T
U11-927121R,x,P,T,T
U11-931121R,x,W,T,T
U11-932025,x,NA,NA,NA
U11-932077,x,H,T,T
U11-932079,x,P,NA,NA
U12-209068,x,NA,T,T
U12-330200,x,P,T,T
U12-415209,x,W,T,T
U12-416214,x,W,T,T
U12-428210,x,NA,T,T
U12-428214,x,P,T,T
U12-611009,x,P,G,G
U12-902102R,x,P,G,G
U12-902104R,x,P,T,T
U12-902108R,x,P,T,T
U12-903108R,x,P,T,T
U12-903112R,x,P,G,G
U12-904114R,x,P,NA,NA
U12-905062,x,W,NA,NA
U12-907117R,x,P,G,G
U12-909109R,x,W,T,T
U12-909110R,x,P,G,G
U12-917123R,x,P,G,G
U12-919011,x,W,G,G
U12-920105R,x,P,G,G
U12-920124R,x,P,G,G
U12-921005,x,P,G,G
U12-922122R,x,P,G,G
U12-923116R,x,P,G,G
U12-923122R,x,P,G,G
U12-924100R,x,P,G,G
U12-924117R,x,P,G,G
U12-926110R,x,P,G,G
U12-926115R,x,P,G,G
U12-927105R,x,P,G,G
U13-215422,x,P,G,G
U13-220427,x,W,G,G
U13-223411,x,P,G,G
U13-227425,x,P,H,H
U13-228421,x,W,G,G
U13-229443,x,P,G,G
U13-231286,x,NA,NA,NA
U13-231427,x,P,G,G
U13-233294,x,W,G,G
U13-233425,x,H,G,G
U13-235283,x,W,G,G
U13-235297,x,P,G,G
U13-329025,x,P,G,G
U13-602142,x,P,T,T
U13-602187,x,P,NA,NA
U13-602194,x,P,T,T
U13-603120,x,P,NA,NA
U13-604147,x,P,NA,NA
U13-605123,x,P,T,T
U13-605132,x,P,T,T
U13-608110,x,P,T,T
U13-609144,x,P,NA,NA
U13-612076,x,P,T,T
U13-613037,x,P,T,T
U13-614037,x,P,NA,NA
U13-614123,x,H,T,T
U13-615123,x,W,G,G
U13-617037,x,P,T,T
U13-618087,x,P,T,T
U13-618123,x,P,G,G
U13-618135,x,P,G,G
U13-904037,x,P,T,T
U13-905029,x,P,T,T
U13-908070,x,W,T,T
U13-909086,x,W,H,H
U13-910045,x,P,T,T
U13-910087,x,P,T,T
U13-911014,x,W,G,G
U13-912010,x,NA,G,G
U13-912032,x,W,G,G
U13-912040,x,P,T,T
U13-913034,x,W,G,G
U13-914045,x,P,T,T
U13-916028,x,H,G,G
U13-918042,x,NA,NA,NA
U13-926082,x,W,G,G
U13-929048,x,W,H,H
U13-931068,x,P,NA,NA
U14-103005,x,P,T,Lt
U14-103008,x,P,G,G
U14-103015,x,P,NA,NA
U14-103022,x,P,T,T
U14-103043,x,P,G,G
U14-108007,x,P,T,T
U14-108041,x,P,G,G
U14-110036,x,P,T,T
U14-111010,x,P,T,T
U14-206321,x,W,G,G
U14-206326,x,W,T,T
U14-211126,x,P,G,G
U14-211209,x,P,G,G
U14-211226,x,P,G,G
U14-213255,x,W,T,T
U14-216260,x,P,G,G
U14-218219,x,W,G,G
U14-221187,x,P,T,T
U14-221253,x,P,T,T
U14-222063,x,NA,T,T
U14-223230,x,P,T,T
U14-227239,x,P,H,H
U14-227255,x,H,T,T
U14-319013,x,P,T,T
U14-320041,x,P,T,T
U14-321026,x,W,T,T
U14-322043,x,W,T,T
U14-605217,x,W,G,G
U14-608170,x,W,G,G
U14-615073,x,W,G,G
U14-902082,x,W,G,G
U14-903100,x,P,G,G
U14-909100,x,P,G,G
U14-910097,x,P,G,G
U14-912075,x,P,G,G
U14-912101,x,P,G,G
U14-914093,x,P,G,G
U14-915126,x,NA,G,G
U14-919098,x,P,G,G
U14-923097,x,P,NA,NA
U14-924158,x,P,G,G
U14-925152,x,P,G,G
U14-926130,x,P,G,G
U14-927136,x,P,G,G
U15-606207,x,P,G,G
U15-613163,x,P,G,G
U15-613225,x,P,T,T
U15-908119,x,W,G,G
U15-917133,x,P,T,T
U15-927115,x,P,H,H
U15-929095,x,H,G,G
U99-035014,x,P,G,G
V02-8659,x,P,T,T
