"GermplasmId_2","GermplasmId","MG","Year"
"A93_554041","A93_554041","MGII",1994
"A93_554053","A93_554053","MGII",1994
"A93_555029","A93_555029","MGII",1994
"A93_652026","A93_652026","MGIII",1994
"A93_652031","A93_652031","MGII",1994
"A93_654020","A93_654020","MGII",1994
"A93_654042","A93_654042","MGII",1994
"A93_752035","A93_752035","MGIII",1994
"A93_754009","A93_754009","MGIII",1994
"A93_754022_MGIII","A93_754022","MGIII",1994
"A93_754024","A93_754024","MGIII",1994
"A93_754027","A93_754027","MGIII",1994
"A93_754028","A93_754028","MGIII",1994
"A93_754037","A93_754037","MGIII",1994
"A93_754052","A93_754052","MGIII",1994
"Apollo","Apollo","MGII",1994
"Blackjack21","Blackjack21","MGI",1994
"C1887","C1887","MGIII",1994
"C1888","C1888","MGIII",1994
"C1889","C1889","MGIII",1994
"C1890","C1890","MGIII",1994
"C1891","C1891","MGIII",1994
"C1892","C1892","MGIV",1994
"C1893","C1893","MGIV",1994
"C1894","C1894","MGIV",1994
"C1895","C1895","MGIV",1994
"C1896","C1896","MGIII",1994
"C1897","C1897","MGIV",1994
"C1898","C1898","MGIV",1994
"C1899","C1899","MGIV",1994
"C1900","C1900","MGIV",1994
"C1901","C1901","MGIII",1994
"C1902","C1902","MGIII",1994
"Croton3.9_MGIII","Croton3.9","MGIII",1993
"E93002","E93002","MGII",1994
"E93018","E93018","MGII",1994
"E93023","E93023","MGII",1994
"E93037","E93037","MGII",1994
"E93044","E93044","MGII",1994
"E93050","E93050","MGII",1994
"E93067","E93067","MGII",1994
"HC86_130_MGIV","HC86_130","MGIV",1994
"HC86_3428","HC86_3428","MGIV",1994
"HC86_4367","HC86_4367","MGIII",1994
"HC88_10","HC88_10","MGIV",1994
"HC88_4332","HC88_4332","MGIV",1994
"HC89_1389","HC89_1389","MGIII",1994
"HC89_1419_MGIII","HC89_1419","MGIII",1993
"HC89_1523","HC89_1523","MGIII",1994
"HC89_1640","HC89_1640","MGIV",1994
"HC89_2436","HC89_2436","MGIII",1994
"HC89_79","HC89_79","MGIII",1994
"HC89_8PR","HC89_8PR","MGIII",1994
"HC90_138PR","HC90_138PR","MGIV",1994
"HC90_145PR","HC90_145PR","MGIV",1994
"HC90_180PR","HC90_180PR","MGIII",1994
"HC90_1879","HC90_1879","MGIV",1994
"HC90_2117","HC90_2117","MGIV",1994
"HC90_2292","HC90_2292","MGIV",1994
"HC90_2318","HC90_2318","MGIV",1994
"HC90_2353","HC90_2353","MGIV",1994
"HC90_2380","HC90_2380","MGIV",1994
"HC90_2586","HC90_2586","MGIV",1994
"HC90_2806","HC90_2806","MGIV",1994
"HC90_2834","HC90_2834","MGIII",1994
"HC90_288","HC90_288","MGIV",1994
"HC91_3586","HC91_3586","MGIV",1994
"HF92_078","HF92_078","MGIII",1994
"HF92_079","HF92_079","MGIII",1994
"HF92_080_MGII","HF92_080","MGII",1994
"HF92_083","HF92_083","MGIII",1994
"HF92_092","HF92_092","MGII",1994
"HF92_176","HF92_176","MGIII",1994
"HF92_178","HF92_178","MGIII",1994
"HN9197","HN9197","MGIV",1994
"HS91_4849","HS91_4849","MGIII",1994
"HS92_2658","HS92_2658","MGIII",1994
"HS92_2659","HS92_2659","MGIII",1994
"HS92_2683","HS92_2683","MGIII",1994
"HS92_2684","HS92_2684","MGIII",1994
"HS92_2689","HS92_2689","MGIV",1994
"HS92_2690","HS92_2690","MGIV",1994
"HS92_2716","HS92_2716","MGIII",1994
"HS92_2774","HS92_2774","MGIV",1994
"IA1006","IA1006","MGI",1994
"IA2007R_MGII","IA2007R","MGII",1994
"IA2008R","IA2008R","MGII",1994
"IA2021_MGII","IA2021","MGII",1993
"K1278","K1278","MGIII",1994
"K1279","K1279","MGIII",1994
"K1280","K1280","MGIII",1994
"K1281","K1281","MGIII",1994
"K1282","K1282","MGIII",1994
"K1283","K1283","MGIII",1994
"K1284","K1284","MGIII",1994
"K1285","K1285","MGIII",1994
